Rank,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
383,4/2/2004,Home on the Range, 110000000, 50026353, 76482461
384,6/13/1997,Speed 2: Cruise Control, 110000000, 48097081, 150468000
385,5/6/2005,Kingdom of Heaven, 110000000, 47398413, 218674938
386,3/23/2017,Ghost in the Shell, 110000000, 40563557, 167910690
387,6/16/2004,Around the World in 80 Days, 110000000, 24004159, 72004159
388,11/21/2003,Dr. Seussâ The Cat in the Hat, 109000000, 101018283, 133818283
389,12/25/2001,Ali, 109000000, 58183966, 87683966
390,9/30/2015,The Martian, 108000000, 228433663, 653609107
391,11/20/2016,Allied, 106000000, 40098064, 119266661
392,7/16/2004,I Robot, 105000000, 144801023, 348629585
393,12/17/1999,Stuart Little, 105000000, 140015224, 298815224
394,11/25/2009,The Princess and the Frog, 105000000, 104400899, 270997378
395,3/7/2008,10000 B.C., 105000000, 94784201, 269065678
396,7/1/2016,Ice Age: Collision Course, 105000000, 64063008, 402156682
397,4/27/2001,Town & Country, 105000000, 6712451, 10364769
398,9/19/2017,Kingsman: The Golden Circle, 104000000, 100234838, 408803696
399,6/9/2000,Gone in 60 Seconds, 103300000, 101643008, 232643008
400,5/4/2000,Gladiator, 103000000, 187683805, 456435588
401,5/23/2013,The Hangover 3, 103000000, 112200072, 362000072
402,3/9/2018,A Wrinkle in Time, 103000000, 100478608, 133214549
403,7/1/2009,Public Enemies, 102500000, 97104620, 212282709
404,11/17/2006,Casino Royale, 102000000, 167365000, 594420283
405,6/21/2002,Minority Report, 102000000, 132024714, 358824714
406,12/13/2018,Bumblebee, 102000000, 127195589, 465195589
